### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gltp     1.4669e-44     0.8734     0.346     0.116
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gal3st1     1.3406e-37     0.8726     0.231     0.054
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sox2ot     3.5299e-40     0.8715     0.277     0.078
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gpm6b     1.3169e-118     0.8704     0.749     0.351
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Map7d1     4.0899e-41     0.8649     0.333     0.117
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fnbp1     6.9146e-40     0.8599     0.337     0.126
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Faim2     2.749e-37     0.8542     0.269     0.079
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Eml1     1.0911e-34     0.8542     0.227     0.06
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Trim59     3.8971e-36     0.8529     0.203     0.041
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Abca2     2.8689e-41     0.848     0.328     0.11
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmod2     5.9928e-33     0.8478     0.259     0.09
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Qk     4.7993e-67     0.8448     0.591     0.288
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Rcan2     4.0593e-35     0.8441     0.224     0.055
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slco3a1     2.2869e-38     0.8431     0.193     0.032
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Enpp2     1.1712e-217     0.8389     0.789     0.303
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmem125     2.6752e-35     0.838     0.219     0.051
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sept7     2.0022e-64     0.837     0.584     0.288
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gm15440     1.3944e-32     0.8368     0.208     0.051
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Bcas1     1.155e-65     0.8356     0.41     0.122
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tr     5.6779e-27     0.8344     0.203     0.064
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cyth1     5.59e-34     0.8333     0.195     0.041
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Aes     1.7356e-39     0.8271     0.382     0.166
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ccp110     2.3418e-32     0.8243     0.212     0.056
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Elovl1     2.3283e-37     0.8231     0.303     0.101
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Plekhh1     2.755e-32     0.8216     0.189     0.039
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Nrbp2     1.2987e-45     0.8212     0.322     0.095
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dpysl2     7.255e-29     0.8204     0.246     0.088
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ap2a1     2.1448e-32     0.8136     0.244     0.073
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Srcin1     1.5885e-32     0.8123     0.221     0.057
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Nipa1     7.1965e-32     0.812     0.179     0.035
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pcbp4     4.724e-41     0.8117     0.314     0.101
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Trim2     1.3002e-39     0.8111     0.327     0.113
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Efhd1     5.9165e-36     0.811     0.238     0.061
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pde4dip     4.6381e-26     0.8092     0.177     0.047
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dpy19l1     4.7731e-32     0.8092     0.212     0.053
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dnm3     1.9418e-26     0.8046     0.183     0.05
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sh3bp5     9.4724e-31     0.8017     0.266     0.093
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Hmgcs1     8.4365e-37     0.7976     0.328     0.12
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pea15a     1.293e-49     0.7958     0.504     0.243
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Eml2     4.9596e-28     0.7937     0.205     0.06
